word,meaning,base_weight,last_seen,last_correct,correct_num
apple,りんご,1.0,2000-01-01,2000-01-01,0
book,本,1.0,2000-01-01,2000-01-01,0
cat,猫,1.0,2000-01-01,2000-01-01,0
dog,犬,1.0,2000-01-01,2000-01-01,0
water,水,1.0,2000-01-01,2000-01-01,0
school,学校,1.0,2000-01-01,2000-01-01,0
friend,友達,1.0,2000-01-01,2000-01-01,0
happy,幸せな,1.0,2000-01-01,2000-01-01,0
sun,太陽,1.0,2000-01-01,2000-01-01,0
run,走る,1.0,2000-01-01,2000-01-01,0
eat,食べる,1.0,2000-01-01,2000-01-01,0
blue,青い,1.0,2026-02-23,2026-02-23,1
house,家,1.0,2000-01-01,2000-01-01,0
bird,鳥,1.0,2000-01-01,2000-01-01,0
music,音楽,1.0,2000-01-01,2000-01-01,0
