word,meaning,base_weight,last_seen,last_correct,correct_num
abdicate,退位する,1.0,2000-01-01,2000-01-01,0
belligerent,好戦的な,1.0,2000-01-01,2000-01-01,0
cacophony,不協和音,1.0,2000-01-01,2000-01-01,0
demagogue,扇動政治家,1.0,2000-01-01,2000-01-01,0
ephemeral,短命な,1.0,2000-01-01,2000-01-01,0
fractious,手に負えない,1.0,2000-01-01,2000-01-01,0
garrulous,おしゃべりな,1.0,2000-01-01,2000-01-01,0
hegemony,覇権,1.0,2000-01-01,2000-01-01,0
impetuous,衝動的な,1.0,2000-01-01,2000-01-01,0
juxtapose,並置する,1.0,2000-01-01,2000-01-01,0
loquacious,多弁な,1.0,2000-01-01,2000-01-01,0
mendacious,虚偽の,1.0,2000-01-01,2000-01-01,0
nefarious,極悪な,1.0,2000-01-01,2000-01-01,0
obfuscate,難解にする,1.0,2000-01-01,2000-01-01,0
perfidious,不誠実な,1.0,2000-01-01,2000-01-01,0
querulous,不平を言う,1.0,2000-01-01,2000-01-01,0
recalcitrant,反抗的な,1.0,2000-01-01,2000-01-01,0
sycophant,おべっか使い,1.0,2000-01-01,2000-01-01,0
tenacious,粘り強い,1.0,2000-01-01,2000-01-01,0
ubiquitous,至る所にある,1.0,2000-01-01,2000-01-01,0
vacillate,ためらう,1.0,2000-01-01,2000-01-01,0
wane,衰える,1.0,2000-01-01,2000-01-01,0
xenophobia,外国人嫌悪,1.0,2000-01-01,2000-01-01,0
zealot,狂信者,1.0,2000-01-01,2000-01-01,0
acrimony,辛辣さ,1.0,2000-01-01,2000-01-01,0
beleaguer,悩ませる,1.0,2000-01-01,2000-01-01,0
consternation,狼狽,1.0,2000-01-01,2000-01-01,0
diffidence,自信のなさ,1.0,2000-01-01,2000-01-01,0
enervate,衰弱させる,1.0,2000-01-01,2000-01-01,0
flagrant,目に余る,1.0,2000-01-01,2000-01-01,0
